code,label,theme,n_references,example_respondent,example_quote
dependencia_especialistas_dominio,Reliance on domain experts,T6_RE_ML_gap,1,P23,"trabalhoso e demorado, pois é preciso ter o entendimento do contexto de negócio... regras estão na cabeça do usuário"
diferenca_importancia_vs_necessidade,Important ≠ required in every project,T6_RE_ML_gap,1,P19,diferença entre algo ser importante e ser necessário... a importância é limitada pela urgência dos prazos
prazo_aperta_necessidade,Deadlines restrict what becomes necessary,T6_RE_ML_gap,1,P19,diferença entre algo ser importante e ser necessário... a importância é limitada pela urgência dos prazos
confiabilidade_resultado,Result reliability,no_theme,4,P14,refletir com eficiência e sem muitos erros... compreensíveis até certo ponto para os humanos... confiáveis em termos de garantir que a informação final não esteja errada
experiencia_completa_ciclo,Experience across all phases,no_theme,3,P04,todas as fases do ciclo de um projeto em Ciência de Dados
reflexo_real,Reflects real scenarios,no_theme,3,P14,refletir com eficiência e sem muitos erros... compreensíveis até certo ponto para os humanos... confiáveis em termos de garantir que a informação final não esteja errada
refinamento_iterativo,Iterative refinement with client,no_theme,2,P15,"refinamento de requisitos, discutimos com a equipe a complexidade e capacidade do time"
reconhecimento_importancia,Acknowledged importance,no_theme,2,P12,em disciplinas na universidade... extrema importância porque era o que nos guiava no desenvolvimento
importancia_producao,Importance for production,no_theme,2,P31,"dados devem ser confiáveis e fazer sentido, é fundamental para que o sistema funcione corretamente quando colocado em produção"
impacto_metricas,Impact on accuracy metrics,no_theme,2,P26,"dados mais atuais, precisos e coerentes com o cenário real tendem a apresentar resultados melhores nas métricas"
resposta_minima,"Empty/minimal response (""."")",no_theme,2,P06,.
experiencia_diversificada,Experience in diverse projects,no_theme,1,P07,"projetos de diversas aplicações, metodologias e tecnologias"
experiencia_inicial_projeto,RE as the first project steps,no_theme,1,P02,primeiros passos quando começamos um projeto
experiencia_positiva_geral,Generic positive experience,no_theme,1,P00,"foi uma ótima experiência, embora complicada"
colaboracao_com_qa,Collaboration with QA,no_theme,1,P03,"levantei a necessidade de termos requisitos claros... para o modelo, para alinhar comportamento e performance às expectativas dos stakeholders"
alinhamento_stakeholders,Stakeholder alignment,no_theme,1,P03,"levantei a necessidade de termos requisitos claros... para o modelo, para alinhar comportamento e performance às expectativas dos stakeholders"
documentacao_formal,Formal documentation,no_theme,1,P08,"Registro formal dos requisitos em documentos detalhados, especificações funcionais e não funcionais, casos de uso"
elicitacao_estruturada,Structured elicitation techniques,no_theme,1,P10,"elicitação de requisitos, análise de documentos e entrevistas semiestruturadas"
levantamento_cenarios,Scenario/story gathering,no_theme,1,P29,"reunião com o cliente onde ele faz o levantamento dos cenários... criação das Histórias, Cenários e Requisitos Funcionais e Não Funcionais"
requisitos_funcionais_e_nfr,Functional and non-functional requirements,no_theme,1,P29,"reunião com o cliente onde ele faz o levantamento dos cenários... criação das Histórias, Cenários e Requisitos Funcionais e Não Funcionais"
requisitos_processo_negocio,Business-process requirements,no_theme,1,P16,escopo analise e desenho dos processos de negócio implicados na mudança
foco_publico_alvo,Focus on target audience (journeys),no_theme,1,P28,jornadas de usuário conversando com clientes para entender como um produto de IA poderia ajudar no cotidiano
foco_coleta,Focus on data collection,no_theme,1,P19,prazos sempre foram extremamente curtos para realizar um estudo aprofundado... empresas com menor capital tendem a ser mais exploratórias e desorganizadas
prevencao_atritos,RE as friction prevention,no_theme,1,P26,"etapa crucial para a definição de um bom escopo, evitando atritos entre a equipe e o cliente"
jornadas_usuario,User journeys,no_theme,1,P28,jornadas de usuário conversando com clientes para entender como um produto de IA poderia ajudar no cotidiano
avaliacao_viabilidade,Feasibility assessment,no_theme,1,P25,descrever e avaliar a viabilidade na fase de concepção
prototipos,Use of prototypes,no_theme,1,P30,"análise de sistemas anteriores e documentações existentes, além de entrevistas e confecção de protótipos"
analise_sistemas_anteriores,Analysis of legacy systems,no_theme,1,P30,"análise de sistemas anteriores e documentações existentes, além de entrevistas e confecção de protótipos"
discussao_complexidade,Discussion of complexity/capacity,no_theme,1,P15,"refinamento de requisitos, discutimos com a equipe a complexidade e capacidade do time"
resposta_vazia,Empty / uncodeable response,no_theme,1,P21,…
interpretabilidade_humana,Interpretability for humans,no_theme,1,P14,refletir com eficiência e sem muitos erros... compreensíveis até certo ponto para os humanos... confiáveis em termos de garantir que a informação final não esteja errada
impacto_pesquisa_e_mercado,Impact on research and industry,no_theme,1,P12,todas as características são de extrema importância... dados de má qualidade são um grande problema na área e dificultam o desenvolvimento de novas técnicas
viabilizar_novas_tecnicas,Enabling development of new techniques,no_theme,1,P12,todas as características são de extrema importância... dados de má qualidade são um grande problema na área e dificultam o desenvolvimento de novas técnicas
importancia_relacional,Relational importance between characteristics,no_theme,1,P17,"se isso não acontecer, todo o resultado proveniente do seu pipeline de ML pode estar comprometido... a rastreabilidade é super importante para a execução de testes com dados mais antigos, debug ou rollback"
relevante_mas_nao_impeditivo,Relevant but not blocking,no_theme,1,P25,"critérios relevantes, mas que não promovem impedimentos"
reprodutibilidade,Technical reproducibility,no_theme,1,P12,"essenciais para reproduzir técnicas, seja para fins de pesquisa ou mercado... influencia também em um desenvolvimento mais rápido"
acelerar_desenvolvimento,Accelerated development,no_theme,1,P12,"essenciais para reproduzir técnicas, seja para fins de pesquisa ou mercado... influencia também em um desenvolvimento mais rápido"
reflexo_dominio,Reflecting the knowledge domain,no_theme,1,P15,garantir que os dados realmente refletem a área de conhecimento
neutro_por_indecisao,Neutral due to indecision over variability,no_theme,1,P19,"vai depender demais do projeto em questão, então prefiro colocar neutro"
relevante_nao_funcional,Relevant but non-functional,no_theme,1,P25,"prioritário, mas não impactam requisitos funcionais"
prioridade_inicio_projeto,Prioritization from project start,no_theme,1,P29,"se não considerados no início do projeto, podem levar a modelos com overfitting ou underfitting"
tomada_de_decisao,Decision making,no_theme,1,P31,"para tomar decisões com base nesses dados, a informação deve ser precisa e consistente"
documentacao_processo,Documentation of the decision process,no_theme,1,P12,"trabalho com imagens médicas, conciliação entre falta de consistência e atualidade com compreensibilidade, disponibilidade, acessibilidade e principalmente credibilidade"
valor_eficiencia,Efficiency as value delivery,no_theme,1,P10,essenciais para a entrega de valor e resultados eficientes
problema_orientado,Problem-oriented decision,no_theme,1,P17,sempre entender o problema a ser solucionado para dar importância maior para uma característica em detrimento de outras
resultado_orientado,Outcome-oriented decision,no_theme,1,P19,"primeiro o resultado e depois avaliar como ele poderia ser melhorado, revisitando essas características"
conformidade_local,Compliance requires local processing,no_theme,1,P20,"projeto que trata anamneses de hospitais. Para manter conformidade, abordamos soluções de aprendizado de máquina federado"
definicao_qualidade_geral,Generic quality definition,no_theme,1,P23,características que definem a qualidade do dado para ser utilizado
flexibilidade_tempo_resposta,Flexibility based on response time,no_theme,1,P26,"se há requisitos de tempo real ou não, se o tempo de espera para a resposta é sensível, pode levar a maior flexibilidade quanto a taxas de acerto"
sem_resposta_substantiva,"No substantive answer (""don't know"")",no_theme,1,P09,Não sei descrever
